"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","9/44","99/18866",1.26748793176841e-12,8.35218090744018e-10,6.01984208883553e-10,"3127/3117/3118/3123/3109/972/3113/10437/3122",9
"BP","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","9/44","103/18866",1.82536609818965e-12,8.35218090744018e-10,6.01984208883553e-10,"3127/3117/3118/3123/3109/972/3113/10437/3122",9
"BP","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","9/44","104/18866",1.99494766897457e-12,8.35218090744018e-10,6.01984208883553e-10,"3127/3117/3118/3123/3109/972/3113/10437/3122",9
"BP","GO:0002478","antigen processing and presentation of exogenous peptide antigen","10/44","177/18866",7.70670710497067e-12,2.41990603096079e-09,1.74414950270389e-09,"3127/3117/3118/3123/3109/972/3113/1536/10437/3122",10
"BP","GO:0071346","cellular response to interferon-gamma","10/44","182/18866",1.01721210478979e-11,2.50557168124574e-09,1.80589309912114e-09,"6348/3127/3117/3118/3123/199/3113/10437/9111/3122",10
"BP","GO:0019884","antigen processing and presentation of exogenous antigen","10/44","185/18866",1.19692914709192e-11,2.50557168124574e-09,1.80589309912114e-09,"3127/3117/3118/3123/3109/972/3113/1536/10437/3122",10
"BP","GO:0048002","antigen processing and presentation of peptide antigen","10/44","194/18866",1.91861242167726e-11,3.44253885946663e-09,2.48121305660518e-09,"3127/3117/3118/3123/3109/972/3113/1536/10437/3122",10
"BP","GO:0034341","response to interferon-gamma","10/44","202/18866",2.86331207492503e-11,4.4953999576323e-09,3.24006366373096e-09,"6348/3127/3117/3118/3123/199/3113/10437/9111/3122",10
"BP","GO:0060333","interferon-gamma-mediated signaling pathway","8/44","91/18866",3.29107093740832e-11,4.59287233042762e-09,3.31031696628206e-09,"3127/3117/3118/3123/3113/10437/9111/3122",8
"BP","GO:0019882","antigen processing and presentation","10/44","232/18866",1.1209777193367e-10,1.40794801548689e-08,1.01477983013638e-08,"3127/3117/3118/3123/3109/972/3113/1536/10437/3122",10
"BP","GO:0045657","positive regulation of monocyte differentiation","4/44","11/18866",8.38929560329413e-09,9.57905025248857e-07,6.90410930031861e-07,"2242/3123/972/677",4
"BP","GO:0030224","monocyte differentiation","5/44","38/18866",2.58692456572047e-08,2.4993671188807e-06,1.8014211550766e-06,"2242/3123/1436/972/677",5
"BP","GO:1903131","mononuclear cell differentiation","5/44","38/18866",2.58692456572047e-08,2.4993671188807e-06,1.8014211550766e-06,"2242/3123/1436/972/677",5
"BP","GO:0045655","regulation of monocyte differentiation","4/44","22/18866",1.82522698142892e-07,1.63748934905337e-05,1.18022195791644e-05,"2242/3123/972/677",4
"BP","GO:0002763","positive regulation of myeloid leukocyte differentiation","5/44","58/18866",2.28149367779284e-07,1.91037070620521e-05,1.37690144765042e-05,"7305/2242/3123/972/677",5
"BP","GO:0002761","regulation of myeloid leukocyte differentiation","6/44","123/18866",3.91556288053023e-07,3.07371686121623e-05,2.21538426135263e-05,"7305/2242/6348/3123/972/677",6
"BP","GO:0002573","myeloid leukocyte differentiation","7/44","210/18866",5.17652619604841e-07,3.82453935425694e-05,2.75654026538801e-05,"7305/2242/6348/3123/1436/972/677",7
"BP","GO:0150076","neuroinflammatory response","5/44","77/18866",9.52062273049811e-07,6.64327897194757e-05,4.78814944340841e-05,"7305/6348/712/199/5743",5
"BP","GO:0070663","regulation of leukocyte proliferation","7/44","240/18866",1.26777339903e-06,8.38064941674567e-05,6.04036079316232e-05,"7305/3123/199/3109/1436/972/3113",7
"BP","GO:0042116","macrophage activation","5/44","101/18866",3.66210803353834e-06,0.000219028937624959,0.000157865308713933,"7305/6348/712/199/972",5
"BP","GO:0045639","positive regulation of myeloid cell differentiation","5/44","101/18866",3.66210803353834e-06,0.000219028937624959,0.000157865308713933,"7305/2242/3123/972/677",5
"BP","GO:1902105","regulation of leukocyte differentiation","7/44","290/18866",4.44144865377896e-06,0.000253566341324835,0.000182758174270331,"7305/2242/6348/3123/639/972/677",7
"BP","GO:0001774","microglial cell activation","4/44","50/18866",5.4798221294745e-06,0.000286777358109166,0.000206695045234565,"7305/6348/712/199",4
"BP","GO:0002269","leukocyte activation involved in inflammatory response","4/44","50/18866",5.4798221294745e-06,0.000286777358109166,0.000206695045234565,"7305/6348/712/199",4
"BP","GO:0070661","leukocyte proliferation","7/44","313/18866",7.32216701419199e-06,0.000367865670793006,0.000265139521356005,"7305/3123/199/3109/1436/972/3113",7
"BP","GO:0050852","T cell receptor signaling pathway","6/44","206/18866",7.87106069637737e-06,0.000380232778255768,0.000274053125460912,"3127/3117/3118/3123/3113/3122",6
"BP","GO:0050670","regulation of lymphocyte proliferation","6/44","219/18866",1.11590878903375e-05,0.000508954498832243,0.000366829424233766,"7305/3123/199/3109/972/3113",6
"BP","GO:0061900","glial cell activation","4/44","60/18866",1.14078413455947e-05,0.000508954498832243,0.000366829424233766,"7305/6348/712/199",4
"BP","GO:0032944","regulation of mononuclear cell proliferation","6/44","221/18866",1.17513379507445e-05,0.000508954498832243,0.000366829424233766,"7305/3123/199/3109/972/3113",6
"BP","GO:0070665","positive regulation of leukocyte proliferation","5/44","150/18866",2.51367658346286e-05,0.00105239259627645,0.000758512933957213,"199/3109/1436/972/3113",5
"BP","GO:0045637","regulation of myeloid cell differentiation","6/44","263/18866",3.13803668263451e-05,0.00127141099141579,0.000916370644164917,"7305/2242/6348/3123/972/677",6
"BP","GO:1902107","positive regulation of leukocyte differentiation","5/44","159/18866",3.32487239844205e-05,0.0013050124163885,0.000940588902190842,"7305/2242/3123/972/677",5
"BP","GO:0046651","lymphocyte proliferation","6/44","283/18866",4.72466037329522e-05,0.00179786614850238,0.0012958136839692,"7305/3123/199/3109/972/3113",6
"BP","GO:0050867","positive regulation of cell activation","7/44","421/18866",4.92341906959172e-05,0.00179786614850238,0.0012958136839692,"7305/6348/199/3109/972/3113/353514",7
"BP","GO:0032943","mononuclear cell proliferation","6/44","286/18866",5.00997732464835e-05,0.00179786614850238,0.0012958136839692,"7305/3123/199/3109/972/3113",6
"BP","GO:0032755","positive regulation of interleukin-6 production","4/44","88/18866",5.20246380214426e-05,0.00181508181541477,0.00130822189176727,"7305/199/972/353514",4
"BP","GO:0030099","myeloid cell differentiation","7/44","431/18866",5.70984764088879e-05,0.00193826179377198,0.0013970039747267,"7305/2242/6348/3123/1436/972/677",7
"BP","GO:0001819","positive regulation of cytokine production","7/44","447/18866",7.18080144790843e-05,0.0023547006217748,0.00169715264392082,"7305/6348/199/5743/972/3113/353514",7
"BP","GO:0002690","positive regulation of leukocyte chemotaxis","4/44","96/18866",7.31157040200773e-05,0.0023547006217748,0.00169715264392082,"6348/199/1436/972",4
"BP","GO:0050851","antigen receptor-mediated signaling pathway","6/44","325/18866",0.0001014756282418,0.00305043006826828,0.00219860028386752,"3127/3117/3118/3123/3113/3122",6
