"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0032663","regulation of interleukin-2 production","5/111","49/18866",9.99025426497715e-06,0.000284090678753488,0.000217936218266834,"5788/54440/301/7538/6441",5
"BP","GO:2000106","regulation of leukocyte apoptotic process","6/111","86/18866",1.16129112076286e-05,0.000325343003056185,0.00024958236587257,"2207/695/301/4067/3958/3718",6
"BP","GO:0045619","regulation of lymphocyte differentiation","8/111","181/18866",1.17039317995151e-05,0.000325343003056185,0.00024958236587257,"5788/54440/695/301/5777/3718/5914/3566",8
"BP","GO:0043302","positive regulation of leukocyte degranulation","4/111","25/18866",1.30512714957579e-05,0.000358764952005613,0.000275221549787738,"2207/2624/5724/3566",4
"BP","GO:0002704","negative regulation of leukocyte mediated immunity","5/111","52/18866",1.34264480879807e-05,0.000365022335930375,0.000280021814952332,"11314/5788/8832/5777/3718",5
"BP","GO:0050853","B cell receptor signaling pathway","7/111","135/18866",1.50346126969257e-05,0.00040430034578472,0.000310153394651683,"11314/5788/5579/695/4067/5777/123920",7
"BP","GO:0002825","regulation of T-helper 1 type immune response","4/111","27/18866",1.79432540982395e-05,0.000477329146656394,0.000366176424891068,"8809/301/3718/3566",4
"BP","GO:0042098","T cell proliferation","8/111","195/18866",2.00745421012516e-05,0.00052834486338826,0.000405312423388092,"5788/54440/301/5880/5777/3958/3718/6441",8
"BP","GO:0048872","homeostasis of number of cells","9/111","256/18866",2.05352227642337e-05,0.000534780432828571,0.000410249381095994,"2207/54440/2624/3815/301/4067/7538/3718/27040",9
"BP","GO:0002700","regulation of production of molecular mediator of immune response","7/111","144/18866",2.28472525746202e-05,0.000578840681764929,0.000444049589083167,"5788/2207/54440/8809/695/3718/3566",7
"BP","GO:0045625","regulation of T-helper 1 cell differentiation","3/111","10/18866",2.3082356543169e-05,0.000578840681764929,0.000444049589083167,"301/3718/3566",3
"BP","GO:0035710","CD4-positive, alpha-beta T cell activation","6/111","97/18866",2.31629860528407e-05,0.000578840681764929,0.000444049589083167,"54440/8809/301/3718/5914/3566",6
"BP","GO:0050764","regulation of phagocytosis","6/111","97/18866",2.31629860528407e-05,0.000578840681764929,0.000444049589083167,"11314/5788/2207/2624/1535/6441",6
"BP","GO:0050855","regulation of B cell receptor signaling pathway","4/111","29/18866",2.40640636944861e-05,0.000595344935801587,0.000456710598327984,"11314/5579/4067/123920",4
"BP","GO:0002221","pattern recognition receptor signaling pathway","8/111","201/18866",2.49581055075767e-05,0.000611350029957868,0.000468988684003759,"11314/695/1535/4615/4067/10318/8737/6441",8
"BP","GO:0042093","T-helper cell differentiation","5/111","60/18866",2.71794824398731e-05,0.000653868125821123,0.000501605850680971,"8809/301/3718/5914/3566",5
"BP","GO:0043547","positive regulation of GTPase activity","11/111","406/18866",2.75721543070236e-05,0.000653868125821123,0.000501605850680971,"6001/5996/397/9459/26230/117289/80005/391/6000/1399/8829",11
"BP","GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","4/111","30/18866",2.7640685869253e-05,0.000653868125821123,0.000501605850680971,"54440/301/5914/3566",4
"BP","GO:1903708","positive regulation of hemopoiesis","8/111","204/18866",2.77510724378407e-05,0.000653868125821123,0.000501605850680971,"5788/54440/695/2624/301/5914/8737/3566",8
"BP","GO:0001820","serotonin secretion","3/111","11/18866",3.16021872451144e-05,0.000724130260742156,0.000555506471564527,"2207/4129/5023",3
"BP","GO:0045628","regulation of T-helper 2 cell differentiation","3/111","11/18866",3.16021872451144e-05,0.000724130260742156,0.000555506471564527,"301/5914/3566",3
"BP","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","5/111","62/18866",3.19038797174192e-05,0.000724130260742156,0.000555506471564527,"8809/301/3718/5914/3566",5
"BP","GO:0030888","regulation of B cell proliferation","5/111","62/18866",3.19038797174192e-05,0.000724130260742156,0.000555506471564527,"11314/5788/54440/695/4067",5
"BP","GO:0002367","cytokine production involved in immune response","6/111","104/18866",3.44029179467864e-05,0.000748553829663712,0.000574242673226257,"2207/54440/8809/695/3815/3718",6
"BP","GO:0002287","alpha-beta T cell activation involved in immune response","5/111","63/18866",3.449277953988e-05,0.000748553829663712,0.000574242673226257,"8809/301/3718/5914/3566",5
"BP","GO:0002293","alpha-beta T cell differentiation involved in immune response","5/111","63/18866",3.449277953988e-05,0.000748553829663712,0.000574242673226257,"8809/301/3718/5914/3566",5
"BP","GO:0046635","positive regulation of alpha-beta T cell activation","5/111","63/18866",3.449277953988e-05,0.000748553829663712,0.000574242673226257,"5788/54440/301/5914/3566",5
"BP","GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","5/111","63/18866",3.449277953988e-05,0.000748553829663712,0.000574242673226257,"54440/301/3718/5914/3566",5
"BP","GO:0002262","myeloid cell homeostasis","7/111","154/18866",3.51785374799477e-05,0.000754982256546375,0.000579174151620267,"2207/2624/3815/301/4067/7538/3718",7
"BP","GO:0050869","negative regulation of B cell activation","4/111","32/18866",3.59421020124651e-05,0.000754982256546375,0.000579174151620267,"11314/695/64092/4067",4
"BP","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/111","105/18866",3.6314829639862e-05,0.000754982256546375,0.000579174151620267,"5788/2207/54440/8809/695/301",6
"BP","GO:0045621","positive regulation of lymphocyte differentiation","6/111","105/18866",3.6314829639862e-05,0.000754982256546375,0.000579174151620267,"5788/54440/695/301/5914/3566",6
"BP","GO:1902106","negative regulation of leukocyte differentiation","6/111","105/18866",3.6314829639862e-05,0.000754982256546375,0.000579174151620267,"2624/301/4067/3718/5914/3566",6
"BP","GO:0046637","regulation of alpha-beta T cell differentiation","5/111","64/18866",3.72416138665107e-05,0.000767797939214563,0.000589005524572973,"54440/301/3718/5914/3566",5
"BP","GO:0046632","alpha-beta T cell differentiation","6/111","106/18866",3.83111014682995e-05,0.000783319545723743,0.00060091270941578,"54440/8809/301/3718/5914/3566",6
"BP","GO:0030168","platelet activation","7/111","158/18866",4.14397403140103e-05,0.00083351152468993,0.000639416788927348,"5579/2207/3937/5023/4067/5777/928",7
"BP","GO:1903707","negative regulation of hemopoiesis","7/111","158/18866",4.14397403140103e-05,0.00083351152468993,0.000639416788927348,"2624/301/4067/7538/3718/5914/3566",7
"BP","GO:1902107","positive regulation of leukocyte differentiation","7/111","159/18866",4.31401237031774e-05,0.000860715048723072,0.000660285594540144,"5788/54440/695/301/5914/8737/3566",7
"BP","GO:0002821","positive regulation of adaptive immune response","6/111","110/18866",4.71953974361128e-05,0.000934091306055545,0.00071657517117736,"5788/2207/54440/8809/695/301",6
"BP","GO:0051656","establishment of organelle localization","11/111","432/18866",4.84601576263823e-05,0.00095151134894976,0.000729938715124204,"11314/2207/695/2624/3815/5880/8832/4067/79083/27040/3566",11
"BP","GO:0051251","positive regulation of lymphocyte activation","10/111","357/18866",4.91780627247549e-05,0.000958004151031841,0.000734919578058294,"5788/54440/695/301/3956/4067/5777/3718/5914/3566",10
"BP","GO:0050766","positive regulation of phagocytosis","5/111","68/18866",4.99743942736326e-05,0.000965911339320056,0.000740985467724997,"5788/2207/2624/1535/6441",5
"BP","GO:0098751","bone cell development","4/111","35/18866",5.16277092451817e-05,0.000990131416066509,0.000759565563191046,"2313/3815/5777/5305",4
"BP","GO:0002755","MyD88-dependent toll-like receptor signaling pathway","4/111","36/18866",5.78188067480333e-05,0.00108366460526238,0.000831318250133207,"11314/695/4615/10318",4
"BP","GO:0045622","regulation of T-helper cell differentiation","4/111","36/18866",5.78188067480333e-05,0.00108366460526238,0.000831318250133207,"301/3718/5914/3566",4
"BP","GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","4/111","36/18866",5.78188067480333e-05,0.00108366460526238,0.000831318250133207,"54440/301/5914/3566",4
"BP","GO:0018108","peptidyl-tyrosine phosphorylation","10/111","374/18866",7.24914276956473e-05,0.00134844956480475,0.00103444435405819,"11314/5788/695/3815/64092/4067/5777/3718/960/8829",10
"BP","GO:0018212","peptidyl-tyrosine modification","10/111","377/18866",7.74543164247157e-05,0.00143001476742348,0.00109701596632963,"11314/5788/695/3815/64092/4067/5777/3718/960/8829",10
"BP","GO:0045064","T-helper 2 cell differentiation","3/111","15/18866",8.56616490682432e-05,0.00156982903551729,0.00120427254011729,"301/5914/3566",3
"BP","GO:0046636","negative regulation of alpha-beta T cell activation","4/111","40/18866",8.8095486644566e-05,0.00160256054381365,0.00122938206207548,"11314/301/3718/3566",4
"BP","GO:0038093","Fc receptor signaling pathway","8/111","241/18866",8.99231032479949e-05,0.00162386684259518,0.00124572689324729,"5788/2207/3937/695/3815/2206/4067/27040",8
"BP","GO:0006911","phagocytosis, engulfment","6/111","126/18866",0.000100580523211728,0.00180316097410011,0.0013832698958867,"11314/2207/2624/51411/5880/391",6
"BP","GO:0050672","negative regulation of lymphocyte proliferation","5/111","79/18866",0.000102643586591008,0.00182690815270615,0.00140148721411275,"11314/695/4067/5777/6441",5
"BP","GO:0033008","positive regulation of mast cell activation involved in immune response","3/111","16/18866",0.000104978335783771,0.0018419603030429,0.00141303426217349,"2207/2624/3566",3
"BP","GO:0043306","positive regulation of mast cell degranulation","3/111","16/18866",0.000104978335783771,0.0018419603030429,0.00141303426217349,"2207/2624/3566",3
